time, Quad.GPS.X
0.105000,-0.372328
0.205000,0.639913
0.305000,-0.736717
0.404998,0.869278
0.504997,0.180258
0.604996,-0.945139
0.704994,0.888010
0.804993,-0.259737
0.904992,-0.450469
1.004991,-1.571571
1.104996,-0.470572
1.205000,-0.521901
1.305005,0.253381
1.405010,0.472142
1.505014,-0.728088
1.605019,-0.303918
1.705024,0.691535
1.805028,0.977342
1.905033,-0.719711
2.005037,0.026318
2.105030,-0.246175
2.205023,0.657957
2.305015,0.154441
2.405008,0.268494
2.505001,-1.340461
2.604994,-0.121889
2.704986,-0.281167
2.804979,-0.170168
2.904972,-0.305826
