time, Quad.IMU.AX
0.005000,0.552092
0.010000,0.073905
0.015000,0.523258
0.020000,-0.426759
0.025000,0.915402
0.030000,-0.297887
0.035000,0.179941
0.040000,-0.572722
0.045000,0.305743
0.050000,-1.090235
0.055000,-0.004505
0.060000,0.405026
0.065000,-0.807117
0.070000,0.967112
0.075000,0.586878
0.080000,0.162900
0.085000,0.474964
0.090000,0.741767
0.095000,-0.069401
0.100000,0.800018
0.105000,1.014714
0.110000,0.275773
0.115000,0.015636
0.120000,-0.179176
0.125000,-0.125778
0.130000,-1.024769
0.135000,-0.070705
0.140000,0.072478
0.145000,0.430831
0.150000,0.274367
0.155000,-0.581284
0.160000,0.470330
0.165000,-0.045251
0.170000,0.342386
0.175000,0.905050
0.180000,0.079221
0.185000,-0.638140
0.190000,-0.673991
0.195000,-0.022601
0.200000,0.694405
0.205000,-0.664092
0.210000,-0.497703
0.215000,0.161345
0.220000,-0.735406
0.225000,-0.171438
0.230000,0.098057
0.235000,-0.277506
0.240000,-0.227791
0.245000,-0.513791
0.250000,-0.060678
0.255000,-0.673057
0.260000,0.204540
0.265000,-0.265605
0.270000,-0.409728
0.275000,-0.512777
0.280000,0.081589
0.285000,0.243458
0.290000,-0.528025
0.295000,-0.289527
0.300000,-0.033728
0.305000,-0.311301
0.310000,0.603239
0.314999,-0.014916
0.319999,0.536876
0.324999,0.525590
0.329999,0.599862
0.334999,-0.106149
0.339999,-0.263640
0.344999,-0.034390
0.349999,-0.611225
0.354999,-0.183660
0.359999,0.145875
0.364999,0.530437
0.369999,1.189031
0.374999,0.295893
0.379999,-0.144232
0.384999,-0.595378
0.389999,0.316784
0.394998,0.200851
0.399998,0.002095
0.404998,-0.809776
0.409998,0.250436
0.414998,-0.217980
0.419998,0.443189
0.424998,0.098389
0.429998,-0.545367
0.434998,-0.328046
0.439998,-0.219267
0.444998,0.048544
0.449998,-0.992037
0.454998,-1.217403
0.459998,0.039208
0.464998,0.363218
0.469997,-0.557201
0.474997,-0.496285
0.479997,0.899136
0.484997,0.204572
0.489997,-0.609926
0.494997,-0.116049
0.499997,-0.272932
0.504997,0.317394
0.509997,-0.396925
0.514997,0.203429
0.519997,-0.123030
0.524997,-0.014468
0.529997,-0.661715
0.534997,0.067227
0.539997,0.362132
0.544997,0.174485
0.549996,-0.633161
0.554996,0.045301
0.559996,-0.502611
0.564996,0.385532
0.569996,-0.883038
0.574996,-0.052034
0.579996,-0.081202
0.584996,-0.064910
0.589996,0.358267
0.594996,0.428539
0.599996,-0.980059
0.604996,0.048909
0.609996,-0.313489
0.614996,0.089642
0.619996,0.340907
0.624996,-0.281032
0.629995,0.482174
0.634995,0.066198
0.639995,-1.092977
0.644995,-0.135434
0.649995,0.272144
0.654995,0.585255
0.659995,-0.118545
0.664995,0.540202
0.669995,0.017136
0.674995,0.154921
0.679995,-0.637843
0.684995,0.025134
0.689995,-0.004745
0.694995,0.559045
0.699995,0.556800
0.704994,-0.248657
0.709994,0.602516
0.714994,-0.285261
0.719994,-0.057797
0.724994,0.706522
0.729994,-0.012151
0.734994,0.566814
0.739994,-0.733828
0.744994,0.575104
0.749994,-0.086666
0.754994,-0.238759
0.759994,0.219244
0.764994,0.396499
0.769994,-0.476545
0.774994,0.737658
0.779994,-0.081368
0.784993,-0.105302
0.789993,0.565086
0.794993,-0.909064
0.799993,-0.095177
0.804993,0.169501
0.809993,-0.367991
0.814993,-0.215461
0.819993,-0.164854
0.824993,0.458308
0.829993,0.066332
0.834993,0.309578
0.839993,0.057132
0.844993,0.636296
0.849993,-0.077343
0.854993,-0.097164
0.859993,-0.334405
0.864992,-0.153343
0.869992,-0.455384
0.874992,0.127852
0.879992,-0.076961
0.884992,-0.378233
0.889992,-0.658861
0.894992,-0.690582
0.899992,0.481093
0.904992,-0.011152
0.909992,0.197870
0.914992,-0.324490
0.919992,-0.366458
0.924992,-0.253702
0.929992,0.478789
0.934992,-0.438892
0.939991,0.309082
0.944991,-0.231044
0.949991,1.259213
0.954991,-0.656647
0.959991,0.482980
0.964991,1.185339
0.969991,-0.737450
0.974991,0.952342
0.979991,-0.699613
0.984991,0.155557
0.989991,0.608575
0.994991,-0.637387
0.999991,0.214550
1.004991,0.117015
1.009991,-0.029875
1.014991,0.900510
1.019992,0.571581
1.024992,-0.125122
1.029992,-0.714684
1.034992,-0.021809
1.039993,-0.038860
1.044993,-0.080584
1.049993,0.684450
1.054993,-0.101796
1.059994,-0.184468
1.064994,-0.087506
1.069994,-0.317480
1.074994,-0.199922
1.079994,0.530144
1.084995,0.088657
1.089995,-0.158256
1.094995,-0.131195
1.099995,0.432213
1.104996,-0.162597
1.109996,0.490209
1.114996,-0.276018
1.119996,-0.132379
1.124997,-0.351228
1.129997,-0.797057
1.134997,0.368524
1.139997,0.171137
1.144997,-0.307708
1.149998,1.046736
1.154998,0.409344
1.159998,0.016985
1.164998,-0.355679
1.169999,-0.112660
1.174999,0.470048
1.179999,0.272180
1.184999,-0.449490
1.190000,-0.417382
1.195000,-0.014529
1.200000,-0.140802
1.205000,0.105877
1.210001,0.132818
1.215001,-0.157442
1.220001,-0.782339
1.225001,0.756211
1.230001,0.060671
1.235002,-0.424277
1.240002,-0.499588
1.245002,-0.211168
1.250002,-0.997638
1.255003,0.278626
1.260003,0.936598
1.265003,-0.342665
1.270003,-0.043284
1.275004,0.517561
1.280004,0.450179
1.285004,0.294956
1.290004,-0.896421
1.295004,0.113693
1.300005,0.245358
1.305005,0.075817
1.310005,-0.509591
1.315005,0.078207
1.320006,-0.134932
1.325006,0.404556
1.330006,0.055206
1.335006,-0.217976
1.340007,0.279609
1.345007,-0.385535
1.350007,0.160105
1.355007,-0.699325
1.360008,-0.202496
1.365008,-0.134136
1.370008,-0.262210
1.375008,1.238424
1.380008,-0.546036
1.385009,0.245810
1.390009,-0.104600
1.395009,0.210578
1.400009,0.016233
1.405010,1.193736
1.410010,-0.129043
1.415010,-0.348789
1.420010,0.471262
1.425011,-0.357250
1.430011,0.903807
1.435011,-0.046766
1.440011,-0.134128
1.445011,0.500272
1.450012,0.006011
1.455012,-0.644506
1.460012,-0.203250
1.465012,0.231649
1.470013,0.219789
1.475013,0.693513
1.480013,-0.843212
1.485013,-0.442742
1.490014,0.443838
1.495014,0.575546
1.500014,0.156602
1.505014,0.071996
1.510015,0.470092
1.515015,-0.043520
1.520015,0.185448
1.525015,0.523091
1.530015,0.209817
1.535016,-0.846388
1.540016,0.011988
1.545016,-0.190483
1.550016,0.362543
1.555017,0.188185
1.560017,0.524077
1.565017,0.643854
1.570017,0.376103
1.575018,-0.909377
